# Replace the initial_guess method with this:
    @property
    def initial_guess(self) -> jnp.ndarray:
        """Initial guess for TWIRIMD1 - exact values from SIF file."""
        return jnp.array([
            0.0089, 0.0089, 0.0089, 0.0089, 0.0089, 0.0089, 0.0089, 0.0609, 0.0609, 0.0609,
            0.0609, 0.0609, 0.0609, 0.0609, 0.0677, 0.0677, 0.0677, 0.0677, 0.0677, 0.0677,
            0.0677, 0.0054, 0.0054, 0.0054, 0.0054, 0.0054, 0.0054, 0.0054, 0.0053, 0.0053,
            0.0053, 0.0053, 0.0053, 0.0053, 0.0053, 0.1286, 0.1286, 0.1286, 0.1286, 0.1286,
            0.1286, 0.1286, 0.0072, 0.0072, 0.0072, 0.0072, 0.0072, 0.0072, 0.0072, 0.0018,
            0.0018, 0.0018, 0.0018, 0.0018, 0.0018, 0.0018, 0.0089, 0.0089, 0.0089, 0.0089,
            0.0089, 0.0089, 0.0089, 0.0609, 0.0609, 0.0609, 0.0609, 0.0609, 0.0609, 0.0609,
            0.0677, 0.0677, 0.0677, 0.0677, 0.0677, 0.0677, 0.0677, 0.0054, 0.0054, 0.0054,
            0.0054, 0.0054, 0.0054, 0.0054, 0.0089, 0.0089, 0.0089, 0.0089, 0.0089, 0.0089,
            0.0089, 0.0609, 0.0609, 0.0609, 0.0609, 0.0609, 0.0609, 0.0609, 0.0677, 0.0677,
            0.0677, 0.0677, 0.0677, 0.0677, 0.0677, 0.0054, 0.0054, 0.0054, 0.0054, 0.0054,
            0.0054, 0.0054, 0.1286, 0.1286, 0.1286, 0.1286, 0.1286, 0.1286, 0.1286, 0.0079,
            0.0079, 0.0079, 0.0079, 0.0079, 0.0079, 0.0079, 0.0059, 0.0059, 0.0059, 0.0059,
            0.0059, 0.0059, 0.0059, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004, 0.0004,
            0.0089, 0.0089, 0.0089, 0.0089, 0.0089, 0.0089, 0.0089, 0.0609, 0.0609, 0.0609,
            0.0609, 0.0609, 0.0609, 0.0609, 0.0677, 0.0677, 0.0677, 0.0677, 0.0677, 0.0677,
            0.0677, 0.0054, 0.0054, 0.0054, 0.0054, 0.0054, 0.0054, 0.0054, 0.1286, 0.1286,
            0.1286, 0.1286, 0.1286, 0.1286, 0.1286, 0.0079, 0.0079, 0.0079, 0.0079, 0.0079,
            0.0079, 0.0079, 0.0059, 0.0059, 0.0059, 0.0059, 0.0059, 0.0059, 0.0059, 0.0004,
